Écoles/Instituts,Ville,Type d'établissement,Diplôme,Durée d'études,Conditions d'accès,Filières Bacs acceptées,Seuil,Filières d'études possibles,Seuil (2024),Seuil (2022),Seuil (2023),Type,Seuil (2020),Seuil (2019),Seuil (2021),Seuil (2017),Seuil (2013),Seuil (2018)
Facultés des Lettres et des Sciences Humaines (FLSH),Casablanca (Ain Chock,Université publique,Licence,3 ans,Baccalauréat toutes filières. Des conditions spécifiques peuvent s'appliquer pour certaines filières.,Toutes les filières du baccalauréat,,Études Islamiques,,,,,,,,,,
Facultés des Lettres et des Sciences Humaines (FLSH),Casablanca (Ain Chock,Université publique,Licence,3 ans,Baccalauréat toutes filières. Des conditions spécifiques peuvent s'appliquer pour certaines filières.,Toutes les filières du baccalauréat,,Études Arabes,,,,,,,,,,
Facultés des Lettres et des Sciences Humaines (FLSH),Casablanca (Ain Chock,Université publique,Licence,3 ans,Baccalauréat toutes filières. Des conditions spécifiques peuvent s'appliquer pour certaines filières.,Toutes les filières du baccalauréat,,Études Amazighes,,,,,,,,,,
Facultés des Lettres et des Sciences Humaines (FLSH),Casablanca (Ain Chock,Université publique,Licence,3 ans,Baccalauréat toutes filières. Des conditions spécifiques peuvent s'appliquer pour certaines filières.,Toutes les filières du baccalauréat,,Études Françaises,,,,,,,,,,
Facultés des Lettres et des Sciences Humaines (FLSH),Casablanca (Ain Chock,Université publique,Licence,3 ans,Baccalauréat toutes filières. Des conditions spécifiques peuvent s'appliquer pour certaines filières.,Toutes les filières du baccalauréat,,Études Anglaises,,,,,,,,,,
Facultés des Lettres et des Sciences Humaines (FLSH),Casablanca (Ain Chock,Université publique,Licence,3 ans,Baccalauréat toutes filières. Des conditions spécifiques peuvent s'appliquer pour certaines filières.,Toutes les filières du baccalauréat,,Études Allemandes,,,,,,,,,,
Facultés des Lettres et des Sciences Humaines (FLSH),Casablanca (Ain Chock,Université publique,Licence,3 ans,Baccalauréat toutes filières. Des conditions spécifiques peuvent s'appliquer pour certaines filières.,Toutes les filières du baccalauréat,,Études Espagnoles,,,,,,,,,,
Facultés des Lettres et des Sciences Humaines (FLSH),Casablanca (Ain Chock,Université publique,Licence,3 ans,Baccalauréat toutes filières. Des conditions spécifiques peuvent s'appliquer pour certaines filières.,Toutes les filières du baccalauréat,,Études Italiennes,,,,,,,,,,
Facultés des Lettres et des Sciences Humaines (FLSH),Casablanca (Ain Chock,Université publique,Licence,3 ans,Baccalauréat toutes filières. Des conditions spécifiques peuvent s'appliquer pour certaines filières.,Toutes les filières du baccalauréat,,Études Portugaises,,,,,,,,,,
Facultés des Lettres et des Sciences Humaines (FLSH),Casablanca (Ain Chock,Université publique,Licence,3 ans,Baccalauréat toutes filières. Des conditions spécifiques peuvent s'appliquer pour certaines filières.,Toutes les filières du baccalauréat,,Études Chinoises,,,,,,,,,,
